id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
district-1,Ashoknagar,district,India,,,ashoknagar,A,R
district-2,Raisen,district,India,,,raisen,R,N
district-3,Chhindwara,district,India,,,chhindwara,C,A
district-4,Betul,district,India,,,betul,B,L
district-5,Hoshangabad,district,India,,,hoshangabad,H,D
district-6,Sehore,district,India,,,sehore,S,E
district-7,Jabalpur,district,India,,,jabalpur,J,R
district-8,Narsimhapur,district,India,,,narsimhapur,N,R
district-9,Panna,district,India,,,panna,P,A
district-10,Ujjain,district,India,,,ujjain,U,N
district-11,Rewa,district,India,,,rewa,R,A
district-12,Dindori,district,India,,,dindori,D,I
district-13,Balaghat,district,India,,,balaghat,B,T
district-14,Barwani,district,India,,,barwani,B,I
district-15,Satna,district,India,,,satna,S,A
district-16,Chhatarpur,district,India,,,chhatarpur,C,R
district-17,Indore,district,India,,,indore,I,E
district-18,Ratlam,district,India,,,ratlam,R,M
district-19,Harda,district,India,,,harda,H,A
district-20,Sagar,district,India,,,sagar,S,R
district-21,Neemuch,district,India,,,neemuch,N,H
district-22,Tikamgarh,district,India,,,tikamgarh,T,H
district-23,Guna,district,India,,,guna,G,A
district-24,Dewas,district,India,,,dewas,D,S
district-25,Mandsaur,district,India,,,mandsaur,M,R
district-26,Khargone (West Nimar),district,India,,,khargonewestnimar,K,R
district-27,Sheopur,district,India,,,sheopur,S,R
district-28,Morena,district,India,,,morena,M,A
district-29,Bhind,district,India,,,bhind,B,D
district-30,Jhabua,district,India,,,jhabua,J,A
district-31,Seoni,district,India,,,seoni,S,I
district-32,Khandwa (East Nimar),district,India,,,khandwaeastnimar,K,R
district-33,Umaria,district,India,,,umaria,U,A
district-34,Gwalior,district,India,,,gwalior,G,R
district-35,Damoh,district,India,,,damoh,D,H
district-36,Dhar,district,India,,,dhar,D,R
district-37,Katni,district,India,,,katni,K,I
district-38,Sidhi,district,India,,,sidhi,S,I
district-39,Alirajpur,district,India,,,alirajpur,A,R
district-40,Singrauli,district,India,,,singrauli,S,I
