id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-1,Pratappur,subdistrict,India,,,pratappur,P,R
subdistrict-2,Pali,subdistrict,India,,,pali,P,I
subdistrict-3,Lailunga,subdistrict,India,,,lailunga,L,A
subdistrict-4,Bilaigarh,subdistrict,India,,,bilaigarh,B,H
subdistrict-5,Dharamjaigarh,subdistrict,India,,,dharamjaigarh,D,H
subdistrict-6,Balrampur,subdistrict,India,,,balrampur,B,R
subdistrict-7,Wadrafnagar,subdistrict,India,,,wadrafnagar,W,R
subdistrict-8,Gharghoda,subdistrict,India,,,gharghoda,G,A
subdistrict-9,Kota,subdistrict,India,,,kota,K,A
subdistrict-10,Dantewada,subdistrict,India,,,dantewada,D,A
subdistrict-11,Dhamdha,subdistrict,India,,,dhamdha,D,A
subdistrict-12,Deobhog,subdistrict,India,,,deobhog,D,G
subdistrict-13,Katekalyan,subdistrict,India,,,katekalyan,K,N
subdistrict-14,Baramkela,subdistrict,India,,,baramkela,B,A
subdistrict-15,Bhanupratappur,subdistrict,India,,,bhanupratappur,B,R
subdistrict-16,Rajpur,subdistrict,India,,,rajpur,R,R
subdistrict-17,Tamnar,subdistrict,India,,,tamnar,T,R
subdistrict-18,A.Chowki (Td),subdistrict,India,,,achowkitd,A,D
subdistrict-19,Fingeshwar,subdistrict,India,,,fingeshwar,F,R
subdistrict-20,Narayanpur,subdistrict,India,,,narayanpur,N,R
subdistrict-21,Sarangarh,subdistrict,India,,,sarangarh,S,H
subdistrict-22,Patthalgaon,subdistrict,India,,,patthalgaon,P,N
subdistrict-23,Jagdalpur,subdistrict,India,,,jagdalpur,J,R
subdistrict-24,Keshkal,subdistrict,India,,,keshkal,K,L
subdistrict-25,Nagari,subdistrict,India,,,nagari,N,I
subdistrict-26,Bodla,subdistrict,India,,,bodla,B,A
subdistrict-27,Tokapal,subdistrict,India,,,tokapal,T,L
subdistrict-28,Lohandiguda,subdistrict,India,,,lohandiguda,L,A
subdistrict-29,Baderajpur,subdistrict,India,,,baderajpur,B,R
subdistrict-30,Batauli,subdistrict,India,,,batauli,B,I
subdistrict-31,Bastanar,subdistrict,India,,,bastanar,B,R
subdistrict-32,Kansabel,subdistrict,India,,,kansabel,K,L
subdistrict-33,Udaipur,subdistrict,India,,,udaipur,U,R
subdistrict-34,Pussore,subdistrict,India,,,pussore,P,E
subdistrict-35,Raigarh,subdistrict,India,,,raigarh,R,H
subdistrict-36,Korba,subdistrict,India,,,korba,K,A
subdistrict-37,Premnagar,subdistrict,India,,,premnagar,P,R
subdistrict-38,Khadgawana,subdistrict,India,,,khadgawana,K,A
subdistrict-39,Ramanujnagar,subdistrict,India,,,ramanujnagar,R,R
subdistrict-40,Baikunthpur,subdistrict,India,,,baikunthpur,B,R
subdistrict-41,Bhaiyathan,subdistrict,India,,,bhaiyathan,B,N
subdistrict-42,Odagi,subdistrict,India,,,odagi,O,I
subdistrict-43,Shankargarh,subdistrict,India,,,shankargarh,S,H
subdistrict-44,Sonhat,subdistrict,India,,,sonhat,S,T
subdistrict-45,Lormi,subdistrict,India,,,lormi,L,I
subdistrict-46,Bharatpur,subdistrict,India,,,bharatpur,B,R
subdistrict-47,Konta,subdistrict,India,,,konta,K,A
subdistrict-48,Mohala (Td),subdistrict,India,,,mohalatd,M,D
subdistrict-49,Manendragarh,subdistrict,India,,,manendragarh,M,H
subdistrict-50,Akaltara,subdistrict,India,,,akaltara,A,A
subdistrict-51,Ramchandrapur,subdistrict,India,,,ramchandrapur,R,R
subdistrict-52,Kusmi,subdistrict,India,,,kusmi,K,I
subdistrict-53,Ambikapur,subdistrict,India,,,ambikapur,A,R
subdistrict-54,Lakhanpur,subdistrict,India,,,lakhanpur,L,R
subdistrict-55,Lundra,subdistrict,India,,,lundra,L,A
subdistrict-56,Bagicha,subdistrict,India,,,bagicha,B,A
subdistrict-57,Kunkuri,subdistrict,India,,,kunkuri,K,I
subdistrict-58,Sakti,subdistrict,India,,,sakti,S,I
subdistrict-59,Pamgarh,subdistrict,India,,,pamgarh,P,H
subdistrict-60,Malkharoda,subdistrict,India,,,malkharoda,M,A
subdistrict-61,Jaijaipur,subdistrict,India,,,jaijaipur,J,R
subdistrict-62,Gaurella-2,subdistrict,India,,,gaurella2,G,A
subdistrict-63,Pathariya,subdistrict,India,,,pathariya,P,A
subdistrict-64,Belha,subdistrict,India,,,belha,B,A
subdistrict-65,Kawardha,subdistrict,India,,,kawardha,K,A
subdistrict-66,S.Lohara,subdistrict,India,,,slohara,S,A
subdistrict-67,Chhuikhadan,subdistrict,India,,,chhuikhadan,C,N
subdistrict-68,Rajnandgaon,subdistrict,India,,,rajnandgaon,R,N
subdistrict-69,Dongargaon,subdistrict,India,,,dongargaon,D,N
subdistrict-70,Nawagarh,subdistrict,India,,,nawagarh,N,H
subdistrict-71,Saja,subdistrict,India,,,saja,S,A
